Lp;DataPoczatku;DataKonca;SumaUbezpieczenia;Odnowienia;Ulica;KodPocztowy;Miasto;Wojewodztwo;Kraj;ReasekuracjaO;ReasekuracjaF;Szerokosc;Dlugosc;Flaga_1;Flaga_2;Nr_Wojewodztwa
47;2016-05-03;2024-01-02;134600,0;NIE;GEN. TADEUSZA KUTRZEBY 14A;62-300;WRZEŚNIA;Wielkopolskie;POLSKA;1;;52.3337001;17.5674176;1;0;12;
48;2015-12-28;2024-01-27;646680,0;NIE;MIEROSZOWSKA 27;54-034;WROCŁAW;Dolnośląskie;POLSKA;1;;51.1392166;16.8950805;1;0;1;
49;2016-01-09;2024-01-08;176000,0;NIE;Kryształowa 20;20-582;Lublin;Lubelskie;POLSKA;1;;51.22386925;22.498451171194056;1;0;3;
50;2015-06-09;2024-01-08;260000,0;NIE;OCIOSOWA 25;59-100;POLKOWICE;Dolnośląskie;POLSKA;1;;51.50988;16.07957;1;0;1;
51;2015-06-03;2024-01-02;115125,0;NIE;SZYMANOWSKIEGO 4;43-600;JAWORZNO;Śląskie;POLSKA;1;;50.1999575;19.26815485637564;1;0;15;
52;2015-11-20;2024-01-19;278000,0;NIE;AUGUSTOWSKA 89;54-112;WROCŁAW;Dolnośląskie;POLSKA;1;;51.1533554;16.9321132;1;0;1;
53;2015-11-26;2024-01-25;544000,0;NIE;Bohaterów Września 57;31-621;Kraków;Małopolskie;POLSKA;1;;50.22908;19.86061;1;0;6;
54;2015-07-30;2024-01-29;120000,0;NIE;Rejowiecka 169;22-100;Chełm;Lubelskie;POLSKA;1;;51.143910;23.468325;5;0;3;
55;2016-01-19;2024-01-18;701167,0;NIE;Miętowa 30;83-050;Kolbudy;Pomorskie;POLSKA;1;;54.266357;18.479025;1;1;10;
56;2015-09-14;2024-01-13;180000,0;NIE;KREDOWA 2;97-400;BEŁCHATÓW;Łódzkie;POLSKA;1;;51.35537275;19.39173048728754;1;0;14;
57;2015-08-12;2024-01-11;293000,0;NIE;LITERACKA 6;01-864;WARSZAWA;Mazowieckie;POLSKA;1;;52.26504765;20.952273173002247;1;0;5;
58;2016-02-19;2024-01-18;532100,0;NIE;WŁYNKOWO 164;76-200;WŁYNKOWO;Zachodniopomorskie;POLSKA;1;;54.516205;17.009974;3;0;13;
59;2015-09-30;2024-01-29;362004,26;NIE;GIEŁDOWA 4E;01-211;WARSZAWA;Mazowieckie;POLSKA;1;;52.230980349999996;20.976254274567818;1;0;5;
60;2015-09-11;2024-01-10;243819,5;NIE;ks. Wacława Blizińskiego 6;62-800;Kalisz;Wielkopolskie;POLSKA;1;;51.74805895;18.048089503522302;1;0;12;
61;2015-08-26;2024-01-25;315000,0;NIE;Szyprów 7A;80-335;Gdańsk;Pomorskie;POLSKA;1;;54.422865;18.574870;1;1;10;
62;2015-08-27;2024-01-26;174443,0;NIE;Bialostocka 106;16-010;Wasilków;Podlaskie;POLSKA;1;;53.18139214999999;23.1863714;1;0;9;
63;2016-01-26;2024-01-25;750000,0;NIE;MALINOWA 12D;97-300;PIOTRKÓW TRYBUNALSKI;Łódzkie;POLSKA;1;;51.4008428;19.648852219295733;1;0;14;
64;2015-12-16;2024-01-15;315200,0;NIE;Majora Jana Kazimierza Mazura 25;06-100;Pułtusk;Mazowieckie;POLSKA;1;;52.70753895;21.068265232585752;1;0;5;
65;2015-09-30;2024-01-29;447000,0;NIE;ALEJA GRUNWALDZKA 136;80-264;GDAŃSK;Pomorskie;POLSKA;1;;54.3810643;18.5999807;1;0;10;
66;2015-12-16;2024-01-15;403517,0;NIE;Cienista 24;80-809;Gdańsk;Pomorskie;POLSKA;1;;54.336442000000005;18.623571348579922;1;0;10;
67;2015-07-06;2024-01-05;190000,0;NIE;MAKSYMA GORKIEGO 67;92-518;ŁÓDŹ;Łódzkie;POLSKA;1;;51.7577385;19.5494385;1;0;14;
68;2015-07-24;2024-01-23;424000,0;NIE;SULNIKOWO 38;06-126;SULNIKOWO;Mazowieckie;POLSKA;1;;52.7299143;20.9159364;3;0;5;
69;2015-09-02;2024-01-01;234970,48;NIE;Leona Berensona 55h;03-287;Warszawa;Mazowieckie;POLSKA;1;;52.3246948;21.070362170982943;1;0;5;
70;2015-08-21;2024-01-20;541580,0;NIE;AKACJOWA 9;52-200;KARWIANY;Dolnośląskie;POLSKA;1;;51.01738085;17.0072508;1;0;1;
